Цена;Площадь_участка;Площадь_помещения;Стоимость_специальных_возможностей;Расстояние_до_ближайшей_железнодорожной_линии;Расстояние_до_океана;Расстояние_до_ближайшего_водоема_;Расстояние_до_центрального_делового_района_Майами;Расстояние_до_ближайшего_субцентра;Расстояние_до_ближайшего_шоссе;Возраст_строения;Шум_от_самолетов;Месяц_продажи;Качество_строения
1340000;9375;2566;38299;3479;9611;0;46115;39574;19141;58;0;2;5
1200000;15244;3315;26097;5067;7668;0;46849;39436;21037;37;0;8;5
1550000;9375;2358;25757;3974;8856;0;46548;39691;19836;42;0;1;5
1020000;9750;2494;48603;4845;7830;45296;46956;39637;20858;16;0;1;5
975000;9375;2541;22771;1673;11601;45446;45879;40296;17129;52;0;12;5
950000;9375;2387;24193;2705;10251;0;46285;40070;18480;26;0;10;5
1675000;13176;4480;31386;4048;8596;0;46909;39926;20065;24;0;5;5
120000;1889;862;0;3144;9396;501;47253;40662;19372;21;0;10;1
73000;2654;916;1342;967;11708;804;46884;41371;17059;66;0;9;1
86500;2999;861;2207;1741;10796;836;47122;41200;17946;62;0;2;2
99300;3000;884;0;1774;10668;986;47306;41325;18083;58;0;1;2
1604000;9140;1484;6970;8143;2417;45329;58215;49161;17891;46;0;3;5
1225000;9350;3096;25519;3721;6776;37;57701;50234;14328;16;0;10;5
1830000;8800;4729;31661;4289;6130;45392;58143;50464;14539;16;0;7;5
1900000;9200;4289;21507;3424;7014;35;57952;50589;13916;36;0;1;4
1100000;8800;2520;20962;4617;5745;0;58585;50767;14582;31;0;11;4
1375000;9200;2991;28567;4098;6089;45422;59591;51908;13585;35;0;5;4
1425000;9200;2676;26650;4330;5849;45515;59673;51905;13751;42;0;12;4
1270000;8800;3082;21648;4113;5982;45458;59994;52284;13404;45;0;1;4
1250000;9350;2990;46641;3892;6167;11;60087;52448;13164;27;0;11;4
1300000;8800;3054;26327;3615;6406;45332;60214;52663;12858;29;0;10;4
1200000;8800;2932;34031;3609;6252;45333;60992;53400;12494;30;0;12;4
2100000;11876;3537;27568;7889;1223;45347;63232;57093;15124;28;0;7;4
900000;13570;2111;2801;7502;1510;218;62911;57408;14649;47;0;7;2
715000;7500;4098;0;7891;1285;387;62834;57524;14979;61;0;2;4
1600000;4402;3089;36292;8363;813;669;62149;58343;15203;1;0;2;5
1550000;4402;3089;35539;8374;809;668;62029;58465;15174;1;0;6;5
1650000;4402;3089;35539;8378;809;667;61988;58506;15165;1;0;5;5
1200000;7290;3912;37296;8063;1225;329;60076;60076;14354;19;0;10;5
1385000;5904;3678;1292;7575;1661;152;60023;60023;13879;10;0;11;5
1200000;5564;2978;31117;7847;1378;257;59989;59989;14132;9;0;12;5
1100000;5500;2626;36208;8556;762;398;59984;59984;14803;10;0;7;5
2600000;13125;3482;42460;8386;866;45522;59042;59042;14469;30;0;5;4
1650000;8144;2674;39943;5757;3584;336;58494;58494;11820;22;0;10;5
1250000;6286;3015;34153;5824;3483;305;58416;58416;11866;18;0;12;5
1365000;5000;3611;32658;5975;3366;545;58080;58080;11959;18;0;11;5
2600000;15963;2707;185;8298;1095;0;56623;56623;14121;77;0;5;4
1189900;4692;3236;0;2951;6581;1633;55657;55657;8746;17;0;1;5
1100000;3912;3143;0;2907;6631;1683;55624;55624;8698;17;0;1;5
1060000;7005;2868;23100;7037;2517;121;55735;55735;12827;24;0;12;5
925000;7000;2802;0;7077;2471;135;55711;55711;12866;25;0;6;5
860000;4002;2553;0;6412;3164;323;55534;55534;12200;25;0;10;5
900000;5703;2802;19250;6965;2592;214;55547;55547;12753;23;0;11;5
747000;3063;2486;0;3292;6294;1422;55308;55308;9080;16;0;9;5
875000;4071;3041;0;6984;2603;130;55478;55478;12771;23;0;11;5
800000;4002;2868;0;6412;3162;239;55451;55451;12200;25;0;12;5
940000;4002;2802;0;7076;2499;45393;55394;55394;12864;24;0;6;5
750000;3335;2365;0;3103;6477;1781;54513;54513;8907;15;0;9;5
1075000;4439;3013;0;3750;5899;1141;54224;54224;9567;15;0;3;5
897000;4512;2633;0;3791;5861;1110;54222;54222;9608;15;0;2;5
1100000;4466;2586;0;3372;6229;1356;54142;54142;9196;15;0;4;5
842000;3036;2365;0;3116;6557;1559;53973;53973;8946;14;0;6;5
2400000;10796;4796;31937;9141;436;313;53750;53750;14994;13;0;4;5
355000;10200;1245;1112;1261;18219;4148;40475;38204;10600;21;0;2;2
285000;7540;1069;912;1011;17792;3773;40851;38349;10974;69;0;5;4
252500;10772;1101;1110;1804;18651;3922;40729;38670;10158;26;0;1;2
225000;10674;1889;5215;1862;18637;3979;40865;38802;10159;69;0;5;2
108000;7260;878;158;624;17105;2988;41421;38558;11626;67;0;6;1
155000;9372;1699;5526;4043;20361;2966;41932;40700;8382;71;0;12;2
118000;7230;1249;1214;2673;18804;4199;42198;40180;9909;58;0;12;2
195000;9100;1353;2428;3444;19594;3737;42211;40582;9147;67;0;10;2
210000;9450;1193;3809;3787;19905;3506;42306;40827;8822;67;0;6;2
160000;10500;914;0;3066;19107;4226;42413;40533;9621;81;0;6;1
155000;8224;1879;2945;1481;17374;2753;42654;39907;11346;66;0;8;4
289000;8090;2431;23707;1522;17373;2741;42750;39998;11347;46;0;4;4
180000;4950;1167;293;2222;18039;3395;42851;40428;10662;70;0;2;4
240000;6850;1320;4920;1209;16956;2313;42975;40003;11795;0;0;3;2
250000;8862;1804;3259;3223;19118;4370;42746;40853;9620;69;0;3;4
260000;10725;1877;1731;1391;16928;2284;43444;40449;11795;21;0;4;2
285000;10725;1877;1731;1391;16928;2284;43444;40449;11795;21;0;8;2
179000;6900;1317;906;4964;20792;3092;43077;41974;7958;26;0;4;2
175000;9088;1404;990;867;16331;1687;43566;40273;12405;67;0;4;2
305000;9525;1228;26063;3138;18772;4127;43327;41235;9954;21;0;3;2
216000;16006;1711;0;2144;17678;3033;43486;40861;11010;70;0;10;2
200000;8960;1617;70;964;16331;1686;43754;40456;12403;67;0;3;4
291500;10500;1638;0;1485;16860;2213;43785;40743;11871;21;0;11;4
280000;10500;1343;1140;1415;16779;2133;43798;40719;11944;21;0;9;2
269000;7800;1546;2761;2132;17501;2860;43862;41124;11246;21;0;7;4
266500;10275;1528;2943;1584;16864;2226;43975;40928;11871;59;0;8;4
260000;7650;1459;1900;3300;18715;4081;43860;41710;10005;21;0;5;2
180000;7800;1329;3935;2465;17808;3176;43951;41355;10948;69;0;7;2
300000;8220;2141;1439;1350;16489;1873;44187;40946;12268;65;0;7;4
167500;6850;1395;1493;4407;19711;4154;44192;42497;9043;67;0;4;2
230000;9360;1055;3042;713;15199;986;44847;40989;13469;26;0;12;2
130000;9111;902;880;2636;17684;3172;44485;41813;11059;67;0;3;1
135000;9111;2389;0;2575;17613;3102;44495;41790;11122;67;0;4;2
122000;6227;927;2206;3433;18537;4031;44480;42220;10164;66;0;2;2
155000;8580;1323;1369;2673;17483;3104;44851;42072;11257;66;0;10;2
160000;8633;1551;4466;3527;18436;4039;44832;42506;10287;36;0;6;2
247500;7620;1731;75;1733;15738;2004;45667;42042;13017;26;0;3;2
105000;7680;1144;4314;5943;20864;3021;45201;43977;7891;61;0;1;1
185000;9108;2206;1565;1832;15715;2101;45837;42198;13035;61;0;10;2
289000;10560;1596;33845;2020;15839;2290;45955;42373;12905;39;0;2;2
145000;9000;1192;0;5161;19831;4063;45524;43802;8938;69;0;7;1
180000;8160;1796;1083;4009;18393;4370;45719;43324;10381;36;0;4;2
275000;9077;1730;3246;4752;19253;4651;45716;43715;9530;64;0;4;2
240000;10425;1682;20511;2164;15866;2432;46135;42557;12901;61;0;7;2
276000;9000;1517;2184;4454;18877;4843;45766;43590;9902;41;0;8;2
215000;9730;1154;2445;1378;14754;1604;46371;42278;14018;41;0;12;2
300033;10425;2219;5168;2153;15723;2426;46299;42650;13054;31;0;8;4
245000;9728;1424;2852;4867;19257;4657;45914;43898;9544;21;0;7;4
225000;9730;1399;0;1465;14761;1694;46505;42406;14022;66;0;9;2
218400;9525;1461;0;5764;20279;3644;45918;44369;8529;21;0;4;4
230000;8775;1969;27216;565;13444;1068;46848;42144;15341;63;0;8;2
228500;9525;1306;1891;4336;18463;4656;46148;43757;10348;26;0;11;4
171000;9730;2079;23528;1693;14785;1946;46819;42721;14034;66;0;2;2
150000;8636;1836;0;3915;17694;4189;46473;43711;11145;68;0;6;2
278000;8500;2045;16620;1087;13856;1535;47123;42596;14964;57;0;2;4
195000;10500;1112;648;2991;16418;3259;46679;43329;12413;66;0;4;2
120000;8636;1023;0;4049;17770;4323;46585;43849;11074;69;0;3;1
259000;10500;1538;1540;3143;16506;3412;46803;43483;12335;21;0;8;2
250000;10500;1483;0;3036;16358;3297;46830;43442;12481;31;0;8;2
240000;9506;1022;25597;5648;19775;4242;46501;44673;9068;36;0;11;2
170000;9503;1360;3004;5399;19445;4578;46542;44566;9407;41;0;7;2
235000;10500;1388;3893;5121;19082;4921;46588;44443;9752;21;0;4;4
266000;10727;1159;23005;6506;20767;3285;46529;45141;8076;31;0;4;2
210000;9506;1140;3590;6409;20646;3417;46542;45099;8211;69;0;11;2
336500;9506;1764;20337;6354;20578;3474;46548;45075;8268;21;0;7;4
235000;10016;1665;1036;2438;15353;2685;47229;43363;13492;65;0;3;2
132000;10031;1811;0;2663;15390;2942;47543;43674;13474;66;0;11;2
262000;9315;1217;0;4319;17411;4579;47495;44525;11471;21;0;11;2
229500;8100;1046;0;5802;19353;4890;47349;45250;9542;16;0;8;2
120000;7946;1223;23935;3362;16085;3605;47736;44159;12811;67;0;11;1
289900;8100;2785;10388;5628;19112;5122;47379;45171;9779;26;0;12;4
210000;12649;2138;2280;2530;14923;2936;47967;43872;13971;45;0;1;2
245000;8040;1744;2907;4125;17022;4353;47705;44546;11888;36;0;8;4
253500;6527;1764;20094;6487;20065;4271;47543;45740;8811;36;0;12;4
241000;9714;1871;3115;7202;20981;3434;47501;46102;7911;21;0;2;4
250000;17577;1397;15000;6811;20456;3888;47559;45928;8384;46;0;4;4
165000;8723;1008;3445;6052;19412;4959;47686;45578;9505;31;0;9;2
205000;8712;1239;0;5338;18426;5607;47815;45263;10494;65;0;2;2
240000;8712;1580;2550;4568;17365;4795;47978;44945;11563;0;0;4;2
179000;13900;1030;0;7532;21272;3223;47668;46378;7607;31;0;4;2
145000;7867;1167;1719;6979;20542;3947;47738;46119;8378;41;0;2;2
148900;9900;1556;0;2974;15183;3424;48378;44363;13752;61;0;9;1
158000;9900;1556;0;2974;15183;3424;48378;44363;13752;61;0;9;1
177500;9900;1556;0;2974;15183;3424;48378;44363;13752;61;0;9;1
215000;9052;1648;1967;6273;19457;5049;48000;45878;9485;36;0;4;4
210000;7740;1700;0;7226;20625;4045;48060;46435;8337;41;0;6;4
267500;8385;1445;0;6329;19388;5206;48194;46020;9580;62;0;9;2
140000;9042;1427;16795;4589;17196;4796;48524;45364;11798;62;0;1;1
165000;9042;1427;16795;4589;17196;4796;48524;45364;11798;62;0;6;1
300000;12655;1633;0;6987;20176;4501;48250;46413;8771;21;0;1;4
324000;8385;2313;0;6658;19723;4954;48304;46262;9256;21;0;12;4
220000;7320;1602;1564;7545;20698;4224;48514;46865;8317;31;0;7;4
300000;7800;2601;10606;7060;20034;4829;48580;46638;8984;21;0;8;4
170700;9042;1542;1940;2348;14768;3052;49318;45049;13404;61;0;12;1
231000;9042;1382;0;4350;17219;4462;48980;45782;11767;21;0;2;2
217000;10500;1544;803;7406;20412;4528;48719;46934;8560;31;0;5;4
180000;9042;1782;3759;3992;16837;4161;49045;45680;12087;26;0;4;2
220000;9042;1163;0;3161;15916;3509;49224;45451;12648;16;0;10;2
315000;7650;1811;21650;7518;20557;4478;48797;47054;8454;16;0;6;4
150000;8473;1302;27824;5022;18000;5005;49042;46173;11042;63;0;12;1
165000;7500;2015;461;6857;19917;5092;48929;46894;9107;21;0;6;2
243000;9042;1557;5133;3015;15856;3326;49414;45611;12528;62;0;5;4
249000;9042;1362;18000;2781;15588;3158;49467;45547;12677;62;0;3;2
227000;10850;1765;0;1821;14356;2611;49731;45277;13401;63;0;12;2
270000;7500;1692;426;6830;19920;5157;49074;47032;9102;21;0;11;4
310000;10500;1979;0;6680;19768;5250;49081;46981;9210;21;0;7;4
170000;7918;1043;1870;4594;17644;4544;49418;46390;11149;62;0;12;2
235000;9042;1540;4570;4386;17446;4341;49456;46335;11314;41;0;7;2
170000;8680;1105;588;4727;17807;4639;49485;46531;10938;64;0;8;2
105000;9042;1524;968;2510;15461;2820;49815;45834;12490;64;0;4;1
200000;9042;1524;968;2510;15461;2820;49815;45834;12490;64;0;10;1
155000;9042;1912;24920;3781;16859;3768;49689;46310;11602;64;0;9;2
170000;9042;1912;24920;3781;16859;3768;49689;46310;11602;64;0;9;2
275000;12675;2656;0;6377;19533;5700;49487;47259;9378;36;0;10;4
340000;8400;2551;8495;7294;20458;4907;49480;47645;8565;21;0;10;4
150000;9042;1582;16946;1900;14944;2247;50243;46037;12535;61;0;2;2
155000;9042;1374;0;3783;16928;3663;49996;46640;11293;70;0;10;2
215000;9042;1763;0;2935;16067;2933;50151;46426;11763;65;0;5;2
343000;8400;2197;2461;7630;20825;4766;49782;48084;8148;21;0;10;4
270000;8250;2024;19964;5102;18291;4817;50074;47298;10202;62;0;5;4
149000;8910;1598;0;4135;17329;3883;50247;47054;10812;21;0;1;4
265000;8910;1598;0;4135;17329;3883;50247;47054;10812;21;0;6;4
287000;8400;1994;2201;6322;19533;5935;50196;47934;9005;21;0;6;2
270000;8645;2782;5347;4719;17927;4394;50346;47403;10371;36;0;10;2
200000;12691;1642;0;6105;19319;5718;50242;47895;9125;31;0;12;4
284000;8400;1651;1528;6322;19537;5920;50278;48012;8964;21;0;3;4
238000;8486;1644;2100;4875;18089;4515;50436;47555;10185;31;0;9;2
183000;5000;1133;8171;2761;15978;2528;50787;47005;11355;21;0;10;2
300000;6760;1553;20772;4718;17938;4343;50555;47610;10200;21;0;9;4
249900;5900;1892;3063;3573;16797;3187;50881;47439;10674;21;0;4;2
197000;4500;1224;1153;2415;15638;2112;51088;47157;11383;26;0;12;4
197000;4500;1262;0;2770;15992;2400;51110;47326;11098;26;0;12;4
185000;7472;2327;25490;7053;20276;5711;50695;48710;8101;46;0;8;2
220000;7472;2327;25490;7053;20276;5711;50695;48710;8101;46;0;10;2
198000;8850;1612;21766;7416;20638;5423;50715;48877;7760;36;0;1;2
245000;4500;1318;1562;3213;16424;2745;51242;47633;10676;21;0;12;4
125000;5400;975;912;3219;16418;2707;51368;47753;10576;31;0;8;1
138000;4500;923;1932;2938;16133;2427;51421;47685;10756;36;0;11;2
113500;5850;1446;1788;3425;16620;2891;51387;47854;10407;41;0;10;1
285000;8699;2127;4969;7298;20507;5689;51038;49133;7715;21;0;3;4
218000;8956;1539;6578;4774;17974;4224;51265;48302;9567;36;0;7;2
211000;4500;1105;420;3051;16236;2507;51491;47795;10623;26;0;11;4
247000;6741;1663;3102;4132;17316;3554;51460;48210;9851;21;0;11;2
110000;5000;970;2008;3061;16205;2433;51723;48005;10466;66;0;7;2
294000;7215;1630;19042;5107;18286;4508;51471;48620;9196;21;0;5;4
269000;6250;1550;1857;4106;17267;3488;51612;48346;9768;26;0;10;4
191500;5000;1066;9996;2699;15789;1998;51935;48038;10623;31;0;10;2
320000;16561;2262;0;982;12979;0;52489;47497;12375;64;0;8;2
209000;6600;1098;3074;6553;19714;5877;51646;49363;8213;26;0;4;4
172000;6000;1159;1100;2869;15922;2116;52064;48218;10432;36;0;8;2
200000;8072;1258;2774;6757;19903;5948;51765;49556;7983;22;0;11;2
183000;7799;1303;563;4513;17586;3764;52084;48911;9162;31;0;4;2
160000;6890;1709;3584;5981;19090;5227;51985;49430;8301;36;0;5;2
195000;6435;1143;836;6857;19986;5914;51912;49718;7869;16;0;2;4
165000;6635;988;1890;6171;19272;5311;52021;49536;8163;36;0;9;2
319500;6600;1392;34777;6472;19568;5474;52085;49711;7923;16;0;9;4
152000;6300;957;480;5021;18056;4217;52261;49272;8721;31;0;9;2
185000;6600;1518;10278;2583;15317;1469;52686;48576;10461;26;0;10;2
175600;6000;1239;2572;3955;16867;3014;52558;49067;9348;36;0;3;2
165000;6000;1410;546;3867;16768;2914;52576;49043;9411;36;0;1;2
274000;6480;1395;0;5521;18531;4519;52407;49593;8288;26;0;12;4
153900;8100;1133;2465;3610;16451;2593;52665;49015;9569;31;0;5;2
211000;8400;1274;0;3231;15998;2138;52755;48919;9860;21;0;5;2
165000;5724;1145;1094;3893;16737;2877;52719;49166;9336;36;0;11;2
211000;10440;1726;1947;2599;15070;1214;53052;48819;10372;41;0;3;2
150000;8542;1194;2100;5565;18468;4277;52681;49830;8104;46;0;3;2
263000;8438;1540;19181;7426;20442;5837;52568;50509;7048;16;0;6;4
165000;8100;1169;0;3667;16356;2499;52986;49278;9426;36;0;9;2
185000;6300;1123;0;1729;13200;354;53534;48536;11662;64;0;5;2
209500;8914;1457;2604;3879;16508;2665;53138;49482;9206;36;0;6;2
140000;7493;996;0;2298;13898;542;53560;48853;11014;64;0;9;1
180000;7875;1336;2270;7054;20825;5957;52803;50872;6665;31;0;11;2
256000;6825;1938;0;7339;20405;5619;52838;50737;6849;31;0;4;4
160000;9517;1266;18480;2370;13931;612;53629;48925;10949;64;0;1;1
250000;8400;1561;0;2125;13557;612;53710;48851;11228;64;0;10;2
225000;7500;1680;2827;6007;18856;4340;53020;50291;7608;31;0;1;2
160000;6950;1524;2743;2300;13700;791;53860;49051;11020;62;0;5;2
230000;7936;1501;1399;3446;15694;1964;53575;49561;9545;31;0;9;2
235000;7500;1808;6652;6385;19183;4444;53225;50610;7237;26;0;4;2
225000;5850;1881;3792;2740;14182;964;53909;49286;10583;31;0;7;2
230000;7440;1400;1361;5173;17808;3311;53400;50229;8043;36;0;9;2
202000;7875;1560;17106;6015;21901;5829;53228;51681;5668;41;0;4;4
218000;7875;1480;3098;6656;20882;5653;53316;51362;6186;41;0;7;4
254000;7080;1313;1419;3188;14933;1481;53939;49613;9917;21;0;12;4
186000;6890;1576;2374;7002;20313;5180;53416;51232;6419;31;0;4;4
175000;8056;1024;1873;5998;18632;3822;53548;50695;7356;31;0;9;2
270000;5800;1688;420;3976;16123;2013;53849;49991;9039;21;0;3;4
147000;6697;1809;2688;5452;17939;3228;53722;50589;7730;46;0;4;2
138000;6400;1268;857;5178;17596;2914;53784;50509;7937;31;0;5;2
200000;6400;1268;857;5178;17596;2914;53784;50509;7937;31;0;9;2
289000;15750;1440;704;5803;21851;5974;53486;51902;5568;21;0;12;4
327000;8441;1646;21687;6558;20751;5389;53587;51561;6021;16;0;7;4
220000;7314;1506;2990;5042;17327;2612;53958;50569;8027;62;0;7;4
160000;7980;1583;2538;4909;17151;2473;53984;50527;8125;64;0;7;4
155000;7980;1266;2800;4860;17086;2421;53996;50511;8171;64;0;1;4
195000;6890;1279;1378;6903;19984;4620;53903;51557;6211;21;0;9;4
149900;6500;1155;1425;6325;20367;4597;54337;52102;5623;31;0;6;4
235000;7983;1563;1159;5343;21512;5323;54562;52749;4800;31;0;5;2
232000;7600;1439;1201;6911;18568;2591;55380;52391;6093;31;0;3;2
225000;7600;1461;4660;6831;18419;2468;55402;52355;6190;36;0;7;2
229000;7600;1553;916;6778;18343;2406;55412;52336;6237;26;0;5;4
165800;7600;1120;0;6783;18650;2590;55462;52500;5965;36;0;12;2
145000;6750;1245;0;1468;26238;4958;55466;55377;1270;90;0;5;1
190000;8176;1401;226;2198;13015;217;56464;51329;10193;70;0;6;2
185000;6300;1217;1748;2701;24369;5922;55528;54716;2512;31;0;1;2
200000;9900;1539;1050;5041;20795;4006;55732;53560;4256;62;0;6;2
200000;7150;1370;3931;5174;20581;3832;55752;53497;4376;61;0;9;2
143000;6180;1091;2999;1856;25357;5655;55792;55323;1664;36;0;7;2
190000;6240;1091;0;2012;25120;5770;55796;55238;1821;36;0;11;2
240000;7280;1640;5548;4322;21720;4661;55809;53978;3633;31;0;12;2
140000;6649;1377;2011;2584;24273;6213;55795;54921;2397;36;0;5;2
210000;6480;1545;3623;1351;26024;5470;55898;55666;1156;21;0;6;2
182000;6480;1221;1188;1586;25657;5626;55899;55530;1393;26;0;1;2
230000;9968;1229;5021;4144;21875;4714;55908;54127;3467;31;0;12;2
215000;6300;1585;1986;4507;15313;249;56528;52248;8046;31;0;3;2
225000;6785;1247;1116;4271;15063;449;56573;52203;8242;41;0;8;2
199000;6180;1021;0;1708;25329;5914;56050;55543;1517;26;0;8;2
350000;8480;1491;42625;5806;19258;2526;56225;53440;4988;41;0;5;2
277000;8750;1328;18648;4079;14835;716;56754;52290;8343;21;0;1;2
160100;5775;1552;2131;3222;23019;5471;56113;54738;2765;31;0;5;2
230000;6480;1186;17880;1385;25684;5864;56162;55775;1193;26;0;12;2
129000;5300;961;3691;3107;23155;5577;56155;54829;2707;80;0;4;2
140000;6180;1495;2850;1546;25404;6021;56200;55705;1356;36;0;6;2
257500;7280;1369;938;4200;21508;4227;56212;54266;3438;21;0;1;2
220000;6588;1484;21105;1918;24844;6282;56195;55492;1730;21;0;1;2
198000;6480;1151;2072;2146;24489;6462;56207;55371;1960;26;0;8;2
200000;6435;1135;4261;4999;15751;104;56787;52665;7517;41;0;5;2
135000;6200;1338;3261;3252;22840;5254;56256;54803;2735;36;0;1;2
369000;11394;2452;20650;4803;15549;246;56819;52622;7646;70;0;1;2
175000;6480;1223;1178;1994;24618;6476;56315;55516;1808;46;0;10;2
195000;5000;1201;0;5140;15878;98;56886;52798;7375;41;0;3;2
180000;5000;1083;1181;5095;15831;137;56894;52788;7413;31;0;1;2
192000;2750;1684;790;3560;14233;1162;57188;52474;8770;37;0;4;2
130000;7440;1234;854;3417;22416;4790;56409;54782;2759;31;0;6;1
290000;7768;1946;824;5744;18920;1974;56684;53739;4941;36;0;1;2
150000;3000;1125;2256;1756;12342;1299;57671;52247;10071;35;0;5;2
140000;5500;1104;1956;1872;24548;6217;56579;55726;1688;31;0;9;2
140000;5500;1209;1260;1904;24495;6184;56580;55708;1718;46;0;8;2
175000;5500;993;825;1973;24394;6122;56584;55673;1782;36;0;12;2
240000;5000;1688;630;2396;23737;5688;56613;55457;2059;16;0;2;2
250000;6000;2062;4733;2560;23475;5486;56625;55371;2138;31;0;6;2
213000;5800;1291;0;5254;15935;269;57202;53120;7154;31;0;10;2
210000;8424;1055;2318;1416;25048;6393;56726;56049;1230;43;0;1;2
147100;6859;1439;0;551;26244;6309;56843;56587;360;41;0;1;2
284000;9375;1331;6137;2267;12829;1559;57837;52588;9497;59;0;1;2
200000;9375;1381;2762;2105;12661;1568;57877;52565;9610;63;0;2;1
315000;7125;1706;44369;3056;22493;4543;56892;55251;2345;26;0;7;2
247000;6879;1439;215;484;26257;6408;56955;56691;293;16;0;11;2
196000;9180;2163;200;6465;17141;270;57299;53661;6029;45;0;8;2
315000;5400;1583;1019;4649;15262;1001;57578;53226;7633;16;0;6;4
149000;8273;1407;0;4664;20038;2535;57081;54521;3847;62;0;4;2
329000;7725;1797;0;5933;18100;938;57316;54026;5202;36;0;6;4
160000;7241;1110;1320;5249;15866;572;57586;53458;7043;36;0;6;2
176000;5000;1395;1300;1307;24731;5784;57226;56373;1104;26;0;3;2
247000;7800;1444;1193;2562;22815;4516;57258;55700;1847;26;0;3;2
235000;5500;1245;554;4357;14897;1527;57973;53469;7777;26;0;11;2
251000;7575;1763;4416;1783;23879;5152;57357;56181;1330;43;0;4;2
240000;5850;1326;275;5565;16130;598;57881;53831;6696;21;0;11;2
303000;5550;1423;463;4158;14652;1813;58158;53561;7838;11;0;12;4
200000;7875;1614;2945;3601;21117;3040;57529;55324;2783;36;0;6;2
171000;5850;1378;0;6347;16900;94;57945;54174;5955;60;0;2;2
266000;7875;1382;0;3474;21200;3036;57617;55435;2655;21;0;6;2
260000;5850;1394;1337;1729;12097;2143;58735;53201;9403;16;0;7;2
104700;5850;981;336;5839;16367;531;58037;54068;6406;60;0;2;1
209000;3151;1286;2461;1590;11934;1985;58840;53251;9483;16;0;9;2
209000;5550;1496;3260;4459;14918;1720;58301;53797;7529;21;0;4;2
335000;13228;1452;0;4941;18959;1208;57801;54789;4193;62;0;11;2
215000;5900;1083;0;2959;13342;2451;58634;53553;8539;26;0;9;2
198000;5850;1259;0;5563;16044;877;58223;54130;6622;41;0;9;2
265000;7500;1423;0;5097;18637;904;57972;54838;4389;41;0;7;2
205000;5600;1083;0;3879;14273;2338;58566;53823;7848;21;0;7;2
297000;5900;1421;1496;3198;13556;2577;58723;53717;8307;16;0;9;2
245000;7600;1683;0;5541;17884;247;58143;54733;4942;60;0;5;2
128000;9825;1828;2991;1152;24300;4968;57838;56762;719;58;0;5;2
230000;6050;1083;0;2508;12831;2586;58884;53614;8738;26;0;8;2
235000;6100;1297;2987;2060;12358;2205;59001;53560;8987;45;0;8;2
280000;8860;1309;0;1669;11945;1850;59107;53518;9207;21;0;8;2
476500;10125;2956;41034;2668;21940;3340;57984;56044;1848;21;0;6;4
315000;10575;2187;18330;1197;24098;4719;57974;56812;658;41;0;11;4
339000;8850;2699;13162;460;25206;5427;58023;57256;238;21;0;11;2
232000;5850;1223;0;6163;16807;461;58422;54600;5813;21;0;8;2
